branch_id,Monetary,clv,clv_Tile,Mone_Tile,score_v1,score,score_level,cluster_labels
20,9829685,37587,3,3,33,6,Loyal,cluster_2
23,843,210,1,1,11,2,Churned,cluster_0
35,11203606,49664,4,4,44,8,Premium,cluster_2
81,4245499,39146,3,2,32,5,Regular,cluster_2
83,166741,9324,1,1,11,2,Churned,cluster_0
138,4373542,37872,3,2,32,5,Regular,cluster_2
164,694637,43602,4,1,41,5,Regular,cluster_2
168,100934,13570,1,1,11,2,Churned,cluster_0
210,6199797,31565,1,2,12,3,Churned,cluster_2
224,10694726,38080,3,4,34,7,Loyal,cluster_2
228,26411086,49928,4,4,44,8,Premium,cluster_1
245,10035659,41633,4,4,44,8,Premium,cluster_2
262,9131466,37887,3,3,33,6,Loyal,cluster_2
278,11189592,34461,2,4,24,6,Loyal,cluster_2
294,6813761,39032,3,3,33,6,Loyal,cluster_2
298,4356321,35242,2,2,22,4,Regular,cluster_2
304,8231837,34947,2,3,23,5,Regular,cluster_2
307,6250,2904,1,1,11,2,Churned,cluster_0
318,125707,21424,1,1,11,2,Churned,cluster_0
346,877844,59805,4,1,41,5,Regular,cluster_2
358,17607128,40052,3,4,34,7,Loyal,cluster_1
364,22173254,52700,4,4,44,8,Premium,cluster_1
379,13294144,36516,3,4,34,7,Loyal,cluster_2
409,7886434,38019,3,3,33,6,Loyal,cluster_2
441,3761719,30798,1,2,12,3,Churned,cluster_2
447,7753155,38553,3,3,33,6,Loyal,cluster_2
461,13556621,42600,4,4,44,8,Premium,cluster_2
473,425,425,1,1,11,2,Churned,cluster_0
486,10880,2418,1,1,11,2,Churned,cluster_0
495,8109040,40660,3,3,33,6,Loyal,cluster_2
515,10747958,32896,2,4,24,6,Loyal,cluster_2
516,1624,270,1,1,11,2,Churned,cluster_0
524,446,38,1,1,11,2,Churned,cluster_0
553,5143873,41958,4,2,42,6,Loyal,cluster_2
557,219458,18270,1,1,11,2,Churned,cluster_0
589,6991579,37686,3,3,33,6,Loyal,cluster_2
599,3225853,30798,1,1,11,2,Churned,cluster_2
602,6352693,36936,3,3,33,6,Loyal,cluster_2
620,5640834,35904,2,2,22,4,Regular,cluster_2
628,4672930,29638,1,2,12,3,Churned,cluster_2
681,84,56,1,1,11,2,Churned,cluster_0
688,5183646,30621,1,2,12,3,Churned,cluster_2
696,4802315,35428,2,2,22,4,Regular,cluster_2
710,5614482,31980,2,2,22,4,Regular,cluster_2
742,16092455,47937,4,4,44,8,Premium,cluster_1
758,6744921,40128,3,3,33,6,Loyal,cluster_2
761,4002613,29812,1,2,12,3,Churned,cluster_2
766,2092729,22304,1,1,11,2,Churned,cluster_0
773,4415927,33280,2,2,22,4,Regular,cluster_2
788,13895680,47151,4,4,44,8,Premium,cluster_2
791,3280102,33138,2,2,22,4,Regular,cluster_2
798,7592379,40579,3,3,33,6,Loyal,cluster_2
804,243584,22999,1,1,11,2,Churned,cluster_0
831,5601127,33245,2,2,22,4,Regular,cluster_2
832,4969296,36180,2,2,22,4,Regular,cluster_2
862,1142362,31310,1,1,11,2,Churned,cluster_2
863,6114385,34515,2,2,22,4,Regular,cluster_2
865,6630231,32757,2,3,23,5,Regular,cluster_2
877,301654,20592,1,1,11,2,Churned,cluster_0
881,7946,1930,1,1,11,2,Churned,cluster_0
887,24211396,57900,4,4,44,8,Premium,cluster_1
896,4825433,36120,2,2,22,4,Regular,cluster_2
903,4774346,31372,1,2,12,3,Churned,cluster_2
916,4408146,36636,3,2,32,5,Regular,cluster_2
977,6116325,32674,2,2,22,4,Regular,cluster_2
985,5120843,36915,3,2,32,5,Regular,cluster_2
